Year,Month,Day,hour,DBT,DP,RH,GHR,DNR,DHR
1994,1,6,9,24.3,21.2,83,339,473,145
1994,1,6,10,26.5,21.5,74,522,552,199
1994,1,6,11,27.5,21.1,68,619,488,270
1994,1,6,12,27.6,21.2,68,647,399,332
1994,1,6,13,28,20,62,686,456,320
1994,1,6,14,28.2,19.7,60,632,424,310
1994,1,6,15,28,19.5,60,515,357,280
1994,1,6,16,27.7,20.3,64,355,269,220
1994,1,6,17,27.3,21.1,69,180,164,129
1994,1,6,18,26.3,21.9,77,36,58,31
1994,1,6,19,25.7,22.8,84,0,0,0
1994,1,6,20,25.2,22.7,86,0,0,0
1994,1,6,21,25.1,23,88,0,0,0
1994,1,6,22,25,22.9,88,0,0,0
1994,1,6,23,24.8,23,90,0,0,0
1994,1,6,24,24.5,23.5,94,0,0,0
1994,1,7,1,24.3,23.3,94,0,0,0
1994,1,7,2,24.3,23.3,94,0,0,0
1994,1,7,3,23.8,22.8,94,0,0,0
1994,1,7,4,23.5,22.5,94,0,0,0
1994,1,7,5,23.3,22.3,94,0,0,0
1994,1,7,6,23.1,22.1,94,0,0,0
1994,1,7,7,23.2,22.2,94,8,90,6
1994,1,7,8,24.3,22.9,92,116,180,79
1994,1,7,9,25.6,22.5,83,266,215,178
1994,1,7,10,27.4,20.2,65,395,215,270
1994,1,7,11,27.5,19.8,63,529,280,329
1994,1,7,12,28.3,20.1,61,606,312,360
1994,1,7,13,28.4,19.9,60,629,333,361
1994,1,7,14,28.3,18.7,56,581,311,345
1994,1,7,15,28,19,58,469,251,304
1994,1,7,16,27.3,19.9,64,318,175,229
1994,1,7,17,26.8,20.6,69,156,95,126
1994,1,7,18,26.3,21.5,75,24,15,22
1994,1,7,19,25.8,21.9,79,0,0,0
1994,1,7,20,25.3,22.8,86,0,0,0
1994,1,7,21,25.1,23,88,0,0,0
1994,1,7,22,25,23.1,89,0,0,0
1994,1,7,23,24.8,23,90,0,0,0
1994,1,7,24,24.2,23,93,0,0,0
1994,1,8,1,23.8,22.6,93,0,0,0
1994,1,8,2,23.5,22.7,95,0,0,0
1994,1,8,3,23.2,22.5,96,0,0,0
1994,1,8,4,23,22.3,96,0,0,0
1994,1,8,5,22.6,21.9,96,0,0,0
1994,1,8,6,22.3,22,98,0,0,0
1994,1,8,7,22.3,22,98,8,139,6
1994,1,8,8,23.4,22.9,97,132,278,76
1994,1,8,9,25,22.7,87,328,431,151
1994,1,8,10,26.3,21.5,75,494,468,220
1994,1,8,11,27.1,19.2,62,636,530,257
1994,1,8,12,28.4,19.3,58,677,462,312
1994,1,8,13,28.3,19.5,59,692,464,318
1994,1,8,14,28,19.2,59,634,422,312
1994,1,8,15,27.7,18.7,58,573,498,244
1994,1,8,16,27.4,19.2,61,431,492,181
1994,1,8,17,26.9,18.7,61,233,364,119
1994,1,8,18,25.9,19.5,68,53,166,36
1994,1,8,19,25.3,21,77,0,0,0
1994,1,8,20,24.8,21.1,80,0,0,0
1994,1,8,21,23.8,21.9,89,0,0,0
1994,1,8,22,23.4,21.8,91,0,0,0
1994,1,8,23,22.9,21.7,93,0,0,0
1994,1,8,24,22.4,21.6,95,0,0,0
1994,1,9,1,22.4,21.7,96,0,0,0
1994,1,9,2,22.3,21.6,96,0,0,0
1994,1,9,3,22.8,22.1,96,0,0,0
1994,1,9,4,21.5,20.8,96,0,0,0
1994,1,9,5,21.4,20.7,96,0,0,0
1994,1,9,6,21.4,20.7,96,0,0,0
1994,1,9,7,21.2,20.5,96,8,163,5
1994,1,9,8,22.4,21.7,96,138,325,73
1994,1,9,9,24.4,22.7,90,336,465,146
1994,1,9,10,26.6,19.5,65,555,656,171
1994,1,9,11,28,17.8,54,743,812,162
1994,1,9,12,27.6,18.3,57,841,853,165
1994,1,9,13,28.3,17.8,53,852,837,175
1994,1,9,14,28.6,15.8,46,804,835,165
1994,1,9,15,28,15.9,48,659,735,172
1994,1,9,16,27.5,16.4,51,474,635,150
1994,1,9,17,26.8,17.6,57,255,465,108
1994,1,9,18,25.4,17.8,63,61,236,36
1994,1,9,19,24.7,19.1,71,0,0,0
1994,1,9,20,24.3,19.4,74,0,0,0
1994,1,9,21,23.8,19.7,78,0,0,0
1994,1,9,22,23,20.3,85,0,0,0
1994,1,9,23,22.3,20.8,91,0,0,0
1994,1,9,24,21.7,20.7,94,0,0,0
1994,1,10,1,21.5,20.7,95,0,0,0
1994,1,10,2,21.3,20.5,95,0,0,0
1994,1,10,3,20.7,20,96,0,0,0
1994,1,10,4,20.7,20,96,0,0,0
1994,1,10,5,20.6,19.9,96,0,0,0
1994,1,10,6,20.3,19.8,97,0,0,0
1994,1,10,7,20.5,20,97,7,117,5
1994,1,10,8,26.9,26.2,96,124,234,77
1994,1,10,9,24.4,20.7,80,334,458,147
1994,1,10,10,27.3,16.6,52,533,587,190
1994,1,10,11,28.3,15.9,47,728,770,176
1994,1,10,12,29,15.8,45,809,774,195
1994,1,10,13,28.9,19.2,56,764,623,259
1994,1,10,14,28.7,16.3,47,674,507,285
1994,1,10,15,27.7,15.3,47,559,451,259
1994,1,10,16,27.2,15.9,50,428,469,188
1994,1,10,17,26.4,15.1,50,266,512,103
1994,1,10,18,25.3,16.4,58,66,285,36
1994,1,10,19,24.4,17.1,64,0,0,0
1994,1,10,20,27.9,23.3,76,0,0,0
1994,1,10,21,27.2,23.2,79,0,0,0
1994,1,10,22,26.4,23.5,84,0,0,0
1994,1,10,23,25.8,22.9,84,0,0,0
1994,1,10,24,20.7,18.3,86,0,0,0
1994,1,11,1,20.5,18.2,87,0,0,0
1994,1,11,2,20.5,16.7,79,0,0,0
1994,1,11,3,19.7,17.5,87,0,0,0
1994,1,11,4,19.2,17.5,90,0,0,0
1994,1,11,5,18.9,17.4,91,0,0,0
1994,1,11,6,18.6,17.1,91,0,0,0
1994,1,11,7,19.2,17.5,90,7,185,4
1994,1,11,8,20.5,18.1,86,144,371,70
1994,1,11,9,23.6,18.9,75,353,538,133
1994,1,11,10,26.4,14.5,48,587,758,144
1994,1,11,11,27.4,14.1,44,766,868,143
1994,1,11,12,28,13.1,40,888,958,127
1994,1,11,13,28.3,12.6,38,925,999,115
1994,1,11,14,27.8,12.6,39,856,953,124
1994,1,11,15,28,12.3,38,714,875,130
1994,1,11,16,27.4,12.6,40,500,712,134
1994,1,11,17,26.3,13.7,46,272,533,101
1994,1,11,18,25.1,15.7,56,64,239,38
1994,1,11,19,23.6,17.8,70,0,0,0
1994,1,11,20,22.7,18.4,77,0,0,0
1994,1,11,21,22.3,18.9,81,0,0,0
1994,1,11,22,21.5,19.8,90,0,0,0
1994,1,11,23,21.3,19.8,91,0,0,0
1994,1,11,24,20.8,19.6,93,0,0,0
1994,1,12,1,20.6,19.4,93,0,0,0
1994,1,12,2,20.6,20.1,97,0,0,0
1994,1,12,3,20.4,20.1,98,0,0,0
1994,1,12,4,20.2,19.7,97,0,0,0
1994,1,12,5,20,19.3,96,0,0,0
1994,1,12,6,19.8,19,95,0,0,0
1994,1,12,7,19.9,19.1,95,7,173,4
1994,1,12,8,21.8,20.1,90,140,346,71
1994,1,12,9,24.2,19.3,74,343,497,140
1994,1,12,10,26.2,19.6,67,529,573,193
1994,1,12,11,27.5,18.8,59,677,630,224
1994,1,12,12,28.2,18.3,55,785,712,219
1994,1,12,13,28.1,19,58,757,601,268
1994,1,12,14,28.1,20.1,62,687,530,279
1994,1,12,15,28,20.3,63,564,454,260
1994,1,12,16,27.3,20.6,67,362,258,228
1994,1,12,17,26.6,20.4,69,191,170,136
1994,1,12,18,26.1,21.3,75,38,45,34
1994,1,12,19,25.6,22.3,82,0,0,0
1994,1,12,20,25.2,22.9,87,0,0,0
1994,1,12,21,25,22.7,87,0,0,0
1994,1,12,22,24.6,22.7,89,0,0,0
1994,1,12,23,24.3,22.7,91,0,0,0
1994,1,12,24,24,23,94,0,0,0
1994,1,13,1,23.1,22.3,95,0,0,0
1994,1,13,2,22.6,22.1,97,0,0,0
1994,1,13,3,22.3,21.8,97,0,0,0
1994,1,13,4,22.1,21.6,97,0,0,0
1994,1,13,5,22.1,21.6,97,0,0,0
1994,1,13,6,22,21.5,97,0,0,0
1994,1,13,7,22,21.5,97,7,174,4
1994,1,13,8,22.6,22.1,97,140,348,71
1994,1,13,9,25.3,21.4,79,339,480,143
1994,1,13,10,27.5,20.8,67,506,501,212
1994,1,13,11,27.3,20.6,67,618,477,275
1994,1,13,12,28.3,20.3,62,668,431,325
1994,1,13,13,28.5,20,60,699,464,321
1994,1,13,14,28.6,20.1,60,637,409,321
1994,1,13,15,28.8,20.3,60,570,466,258
1994,1,13,16,27.8,20.9,66,402,365,212
1994,1,13,17,26.8,21.3,72,213,241,134
1994,1,13,18,25.9,21.6,77,47,82,38
1994,1,13,19,25.3,21.8,81,0,0,0
1994,1,13,20,24.9,21.8,83,0,0,0
1994,1,13,21,24.4,21.7,85,0,0,0
1994,1,13,22,24,22.6,92,0,0,0
1994,1,13,23,23.5,22.5,94,0,0,0
1994,1,13,24,23.2,22.7,97,0,0,0
1994,1,14,1,22.7,22.2,97,0,0,0
1994,1,14,2,22.5,22.2,98,0,0,0
1994,1,14,3,22.3,22,98,0,0,0
1994,1,14,4,22.2,22,99,0,0,0
1994,1,14,5,21.8,21.6,99,0,0,0
1994,1,14,6,21.6,21.6,100,0,0,0
1994,1,14,7,21.7,21.7,100,7,103,5
1994,1,14,8,22.5,22.5,100,118,207,77
1994,1,14,9,24.6,21.9,85,329,441,149
1994,1,14,10,26,20.8,73,524,554,198
1994,1,14,11,27,19.6,64,703,695,202
1994,1,14,12,27.5,18.5,58,820,789,190
1994,1,14,13,28.5,18.3,54,852,819,183
1994,1,14,14,28.3,17.2,51,797,794,182
1994,1,14,15,28.4,17.9,53,657,698,187
1994,1,14,16,27.8,17.6,54,479,614,159
1994,1,14,17,26.9,18.2,59,274,508,107
1994,1,14,18,25.8,20.8,74,68,245,41
1994,1,14,19,25,21.1,79,0,0,0
